state,region,03/11/2020_date,03/12/2020_date,03/13/2020_date,03/14/2020_date,03/15/2020_date,03/16/2020_date,03/17/2020_date,03/18/2020_date,03/19/2020_date,03/20/2020_date,03/21/2020_date,03/22/2020_date,03/23/2020_date,03/24/2020_date,03/25/2020_date,03/26/2020_date,03/27/2020_date,03/28/2020_date,03/29/2020_date,03/30/2020_date,03/31/2020_date,04/01/2020_date,04/02/2020_date,04/03/2020_date,04/04/2020_date,04/05/2020_date,04/06/2020_date,04/07/2020_date,04/08/2020_date,04/09/2020_date,04/10/2020_date,04/11/2020_date,04/12/2020_date,04/13/2020_date,04/14/2020_date,04/15/2020_date,04/16/2020_date,04/17/2020_date,04/18/2020_date,04/19/2020_date,04/20/2020_date,04/21/2020_date,04/22/2020_date,04/23/2020_date,04/24/2020_date,04/25/2020_date,04/26/2020_date,04/27/2020_date,04/28/2020_date,04/29/2020_date,04/30/2020_date,05/01/2020_date,05/02/2020_date,05/03/2020_date,05/04/2020_date,05/05/2020_date,05/06/2020_date,05/07/2020_date,05/08/2020_date,05/09/2020_date,05/10/2020_date,05/11/2020_date,05/12/2020_date,05/13/2020_date,05/14/2020_date,05/15/2020_date,05/16/2020_date,05/17/2020_date,05/18/2020_date,05/19/2020_date,05/20/2020_date,05/21/2020_date,05/22/2020_date,05/23/2020_date,05/24/2020_date,05/25/2020_date,05/26/2020_date,05/27/2020_date,05/28/2020_date,05/29/2020_date,05/30/2020_date,05/31/2020_date,06/01/2020_date,06/02/2020_date,06/03/2020_date,06/04/2020_date,06/05/2020_date,06/06/2020_date,06/07/2020_date,06/08/2020_date,06/09/2020_date,06/10/2020_date,06/11/2020_date,06/12/2020_date,06/13/2020_date,06/14/2020_date,06/15/2020_date,06/16/2020_date,06/17/2020_date,06/18/2020_date,06/19/2020_date,06/20/2020_date,06/21/2020_date,06/22/2020_date,06/23/2020_date,06/24/2020_date,06/25/2020_date,06/26/2020_date,06/27/2020_date,06/28/2020_date,06/29/2020_date,06/30/2020_date,07/01/2020_date,07/02/2020_date,07/03/2020_date,07/04/2020_date,07/05/2020_date,07/06/2020_date,07/07/2020_date,07/08/2020_date,07/09/2020_date,07/10/2020_date,07/11/2020_date,07/12/2020_date,07/13/2020_date,07/14/2020_date,07/15/2020_date,07/16/2020_date,07/17/2020_date,07/18/2020_date,07/19/2020_date,07/20/2020_date,07/21/2020_date,07/22/2020_date,07/23/2020_date,07/24/2020_date,07/25/2020_date,07/26/2020_date,07/27/2020_date,07/28/2020_date,07/29/2020_date,07/30/2020_date,07/31/2020_date,08/01/2020_date,08/02/2020_date,08/03/2020_date,08/04/2020_date,08/05/2020_date,08/06/2020_date,08/07/2020_date,08/08/2020_date,08/09/2020_date,08/10/2020_date,08/11/2020_date,08/12/2020_date,08/13/2020_date,08/14/2020_date,08/15/2020_date,08/16/2020_date,08/17/2020_date,08/18/2020_date,08/19/2020_date,08/20/2020_date,08/21/2020_date,08/22/2020_date,08/23/2020_date,08/24/2020_date,08/25/2020_date,08/26/2020_date,08/27/2020_date,08/28/2020_date,08/29/2020_date,08/30/2020_date,08/31/2020_date,09/01/2020_date,09/02/2020_date,09/03/2020_date,09/04/2020_date,09/05/2020_date,09/06/2020_date,09/07/2020_date,09/08/2020_date,09/09/2020_date,09/10/2020_date,09/11/2020_date,09/12/2020_date,09/13/2020_date,09/14/2020_date,09/15/2020_date,09/16/2020_date,09/17/2020_date,09/18/2020_date,09/19/2020_date,09/20/2020_date,09/21/2020_date,09/22/2020_date,09/23/2020_date,09/24/2020_date,09/25/2020_date,09/26/2020_date,09/27/2020_date,09/28/2020_date,09/29/2020_date,09/30/2020_date,10/01/2020_date,10/02/2020_date,10/03/2020_date,10/04/2020_date,10/05/2020_date,10/06/2020_date,10/07/2020_date,10/08/2020_date,10/09/2020_date,10/10/2020_date,10/11/2020_date,10/12/2020_date,10/13/2020_date,10/14/2020_date,10/15/2020_date,10/16/2020_date,10/17/2020_date,10/18/2020_date,10/19/2020_date,10/20/2020_date,10/21/2020_date,10/22/2020_date,10/23/2020_date,10/24/2020_date,10/25/2020_date,10/26/2020_date,10/27/2020_date,10/28/2020_date,10/29/2020_date,10/30/2020_date,10/31/2020_date,11/01/2020_date,11/02/2020_date,11/03/2020_date,11/04/2020_date,11/05/2020_date,11/06/2020_date,11/07/2020_date,11/08/2020_date,11/09/2020_date,11/10/2020_date,11/11/2020_date,11/12/2020_date,11/13/2020_date,11/14/2020_date,11/15/2020_date,11/16/2020_date,11/17/2020_date,11/18/2020_date,11/19/2020_date,11/20/2020_date,11/21/2020_date,11/22/2020_date,11/23/2020_date,11/24/2020_date,11/25/2020_date,11/26/2020_date,11/27/2020_date,11/28/2020_date,11/29/2020_date,11/30/2020_date,12/01/2020_date,12/02/2020_date,12/03/2020_date,12/04/2020_date,12/05/2020_date,12/06/2020_date,12/07/2020_date,12/08/2020_date,12/09/2020_date,12/10/2020_date,12/11/2020_date,12/12/2020_date,12/13/2020_date,12/14/2020_date,12/15/2020_date,12/16/2020_date,12/17/2020_date,12/18/2020_date,12/19/2020_date,12/20/2020_date,12/21/2020_date,12/22/2020_date,12/23/2020_date,12/24/2020_date,12/25/2020_date,12/26/2020_date,12/27/2020_date,12/28/2020_date,12/29/2020_date,12/30/2020_date,12/31/2020_date,01/01/2021_date,01/02/2021_date,01/03/2021_date,01/04/2021_date,01/05/2021_date,01/06/2021_date,01/07/2021_date,01/08/2021_date,01/09/2021_date,01/10/2021_date,01/11/2021_date,01/12/2021_date,01/13/2021_date,01/14/2021_date,01/15/2021_date,01/16/2021_date,01/17/2021_date,01/18/2021_date,01/19/2021_date,01/20/2021_date,01/21/2021_date,01/22/2021_date,01/23/2021_date,01/24/2021_date,01/25/2021_date,01/26/2021_date,01/27/2021_date,01/28/2021_date,01/29/2021_date,01/30/2021_date,01/31/2021_date,02/01/2021_date,02/02/2021_date,02/03/2021_date,02/04/2021_date,02/05/2021_date,02/06/2021_date,02/07/2021_date,02/08/2021_date,02/09/2021_date,02/10/2021_date,02/11/2021_date,02/12/2021_date,02/13/2021_date,02/14/2021_date,02/15/2021_date,02/16/2021_date,02/17/2021_date,02/18/2021_date,02/19/2021_date,02/20/2021_date,02/21/2021_date,02/22/2021_date,02/23/2021_date,02/24/2021_date,02/25/2021_date,02/26/2021_date,02/27/2021_date,02/28/2021_date,03/01/2021_date,03/02/2021_date,03/03/2021_date,03/04/2021_date,03/05/2021_date,03/06/2021_date,03/07/2021_date,03/08/2021_date,03/09/2021_date,03/10/2021_date
Pinar del Río,Pinar del Río,0,0,0,0,0,0,0,0,0,1,2,2,3,4,4,6,7,10,13,13,14,16,21,21,22,23,24,24,24,25,25,25,25,25,26,26,28,28,28,29,29,29,44,46,46,48,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,51,51,51,51,51,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,53,53,53,53,59,60,62,62,62,62,64,65,65,65,65,68,69,70,70,72,72,94,97,97,97,100,102,103,103,103,103,105,105,105,105,107,107,112,112,112,116,116,116,116,116,116,116,116,116,116,116,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,118,118,120,120,120,121,127,127,127,138,139,163,173,204,245,283,312,324,337,348,402,424,447,473,530,555,585,600,635,669,692,721,733,770,802,815,834,858,869,887,908,921,934,945,961,972,976,989,1009,1037,1042,1043,1052,1060,1064,1078,1079,1094,1117,1127,1127,1138,1151,1154,1167,1170,1178,1181,1182,1194,1198,1199,1201,1207,1207,1208,1211,1220,1224,1229,1229,1233,1237,1241,1243,1251,1260,1264,1270,1282,1285,1289,1291,1317,1326,1327,1332,1348,1355,1361,1369,1378,1386,1391,1391,1405,1419,1469,1474,1483,1532,1552,1583,1610,1615,1659,1688,1744,1802,1824,1860,1862,1899,1974,2016,2031,2041,2087,2098,2154,2195,2232,2326,2335,2422,2460,2505,2529,2558,2615,2675,2728,2779,2813,2814,2899,2904,3060,3097,3147,3202,3261,3325,3448,3497,3601
Artemisa,Artemisa,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,3,6,6,6,7,11,13,15,15,16,22,25,26,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,27,27,31,31,31,31,31,31,31,31,31,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,34,34,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,39,51,51,52,54,61,71,88,101,101,106,113,114,123,130,143,162,166,170,187,197,201,203,208,227,230,231,233,239,244,248,253,258,261,261,267,270,275,277,279,286,301,301,308,322,326,329,330,336,337,338,348,348,351,352,356,358,362,362,362,363,366,369,369,370,371,371,371,371,372,372,372,372,373,373,373,374,374,374,374,374,374,375,375,375,375,375,375,375,375,375,375,375,375,394,394,394,405,409,410,410,411,416,416,417,417,417,418,418,418,419,419,419,419,419,419,419,419,419,419,419,419,420,421,424,425,425,428,428,429,429,433,434,439,439,445,451,458,462,462,464,494,496,499,503,510,518,531,531,543,559,571,579,608,626,632,636,640,645,656,669,685,690,710,718,732,742,759,768,778,792,806,817,841,858,877,886,905,919,930,946,955,960,987,1006,1024,1038,1049,1063,1084,1100,1110,1126,1138,1155,1172,1195,1205,1219,1235,1254,1279,1281,1300,1308,1317,1338,1348,1361,1384,1402,1406,1407,1415,1436,1471,1496,1532,1554,1563,1597,1634,1669,1699,1734,1766,1792,1809,1828,1860,1900,1942,1975,2006
La Habana,La Habana,0,0,0,0,0,1,2,2,4,8,12,14,17,19,23,25,32,34,42,50,60,65,72,82,94,109,115,137,169,181,200,220,235,264,297,320,335,358,376,406,426,470,487,517,546,564,578,604,629,647,676,740,776,792,801,809,822,826,835,843,849,868,873,883,890,892,895,898,900,908,914,919,932,937,942,955,964,972,989,1009,1029,1066,1075,1090,1097,1109,1141,1159,1167,1171,1176,1183,1197,1201,1210,1223,1234,1241,1256,1266,1270,1273,1276,1279,1280,1282,1285,1285,1287,1295,1296,1301,1306,1313,1321,1324,1332,1346,1350,1354,1364,1369,1375,1376,1380,1386,1388,1392,1393,1393,1393,1395,1395,1399,1401,1406,1413,1439,1444,1458,1467,1471,1483,1489,1499,1516,1526,1550,1593,1609,1638,1714,1753,1782,1816,1849,1902,1924,1967,2003,2050,2112,2117,2147,2204,2236,2247,2258,2277,2316,2362,2401,2441,2464,2510,2579,2595,2615,2620,2637,2649,2688,2738,2756,2777,2802,2819,2850,2897,2918,2952,2985,2994,3025,3067,3096,3110,3133,3160,3190,3206,3236,3246,3255,3268,3284,3297,3304,3309,3310,3321,3341,3343,3352,3358,3368,3376,3378,3397,3419,3427,3431,3431,3439,3443,3443,3445,3447,3447,3452,3453,3453,3455,3456,3458,3458,3461,3461,3462,3465,3469,3477,3479,3488,3491,3497,3502,3503,3503,3505,3505,3516,3519,3525,3534,3543,3546,3556,3560,3575,3585,3602,3620,3633,3668,3698,3720,3743,3784,3812,3845,3863,3889,3905,3943,3977,3994,4026,4054,4084,4117,4160,4216,4256,4286,4337,4381,4480,4569,4618,4685,4745,4800,4816,4883,4939,4977,5032,5108,5141,5216,5308,5399,5531,5616,5739,5934,6060,6235,6383,6554,6707,6787,6870,7040,7236,7448,7724,8048,8217,8561,8895,9158,9470,9885,10343,10785,11268,11760,12145,12509,12886,13264,13553,13845,14283,14811,15291,15724,16111,16421,16909,17381,17842,18291,18818,19397,19809,20261,20656,21020,21482,21844,22130,22507,23114,23506,23896,24229,24617,25032,25394,25885,26255,26651
Mayabeque,Mayabeque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,6,8,8,8,10,14,14,15,25,25,25,29,30,30,33,44,45,45,45,45,45,45,45,46,46,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,53,53,53,53,54,54,55,55,55,55,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,57,57,57,57,57,58,58,58,59,59,59,59,60,60,60,60,60,60,60,61,61,61,61,62,62,62,62,62,62,62,63,63,63,63,64,66,66,66,67,67,69,72,73,75,75,75,76,76,77,79,79,80,80,80,80,80,86,86,86,86,86,86,86,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,89,89,89,89,89,89,91,94,94,94,94,94,95,95,98,98,103,108,109,109,109,111,114,124,130,130,132,133,136,138,139,155,161,163,168,173,180,185,198,202,215,223,239,249,270,279,283,289,296,309,318,334,340,346,355,365,371,376,381,387,405,410,424,430,444,458,471,496,503,506,512,516,522,541,563,580,611,626,642,668,718,739,797,804,841,869,885,920,944,958,975,993,1053,1091,1185,1215,1259,1319,1362,1388,1460,1547,1573,1590,1620,1680,1707,1756,1840,1898,1963,2028,2096,2181,2248,2287,2350,2424
Matanzas,Matanzas,0,0,0,0,0,0,0,0,0,1,2,2,2,4,8,11,13,14,19,19,19,22,23,28,35,37,38,41,45,46,46,51,52,52,53,54,54,63,63,73,76,77,81,84,88,95,98,106,109,119,122,123,124,125,126,126,127,128,130,130,133,134,134,144,147,166,173,174,176,181,183,186,187,191,191,194,194,195,196,196,196,197,197,197,202,204,205,205,205,205,205,205,205,206,206,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,207,208,209,211,212,212,212,213,213,213,213,214,214,214,214,214,215,215,217,217,225,225,238,238,240,241,242,252,252,252,257,260,260,260,264,265,265,266,268,268,273,274,275,275,282,296,302,309,333,339,339,339,340,343,344,346,347,348,349,349,350,350,350,350,350,350,350,351,351,351,351,351,351,351,351,351,351,351,351,351,368,372,372,372,374,383,383,383,383,383,383,383,383,383,386,386,386,386,386,387,389,389,389,389,390,392,393,394,396,399,401,407,407,408,409,419,419,423,427,432,434,437,440,440,445,452,459,460,477,485,497,507,517,518,534,550,558,567,575,585,588,604,610,627,653,680,704,713,723,731,747,762,828,879,909,935,969,1010,1055,1126,1192,1246,1331,1413,1438,1484,1527,1550,1557,1589,1665,1724,1778,1803,1851,1890,1919,1955,1995,2034,2052,2080,2106,2126,2164,2181,2207,2228,2243,2249,2263,2285,2310,2323,2334,2334,2344,2347,2355,2364,2369,2372,2375,2380,2384,2387,2389,2390,2390,2392,2397,2403,2409,2414,2419,2431,2436,2441,2443
Cienfuegos,Cienfuegos,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,5,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,13,13,14,14,18,19,19,20,22,22,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,26,27,27,27,27,27,27,27,27,27,27,28,28,28,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,33,33,33,33,33,33,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,37,37,37,37,37,37,38,38,38,38,40,46,49,52,54,58,72,79,82,84,88,89,91,98,102,107,107,109,110,114,118,122,126,128,128,132,141,142,143,153,158,161,165,169,173,177,181,186,187,190,190,191,194,196,198,198,209,211,221,223,224,246,255,292,303,366,371,380,409,418,422,425,442,453,453,456,460,474,490,498,506,511,520,531,531,545,551,554,561,561,565,570,579,590,597,608,608,619,637,639,650,679,681,693,701,708,724,730,738,750,755,769,774,789,802,805,816,822,831
Villa Clara,Villa Clara,0,0,1,1,1,1,1,3,3,3,3,5,6,6,7,12,24,24,25,25,28,28,30,31,36,38,42,51,54,61,72,84,92,93,93,112,145,159,167,169,175,176,183,187,189,190,190,190,190,190,191,192,192,192,194,196,206,209,209,210,211,211,211,211,211,211,211,214,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,216,217,217,217,218,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,219,220,220,221,221,221,221,221,221,221,221,221,222,222,222,222,222,222,222,222,222,224,224,224,224,224,224,225,231,237,244,244,248,250,252,254,257,257,258,259,259,264,264,264,264,264,265,266,267,269,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,272,273,273,273,275,275,275,275,275,275,275,275,275,275,277,278,280,281,291,291,297,299,306,312,315,323,330,337,343,350,356,373,375,387,393,399,402,404,408,415,427,429,432,434,438,441,444,453,473,493,501,507,525,531,537,544,561,577,588,619,642,665,699,721,749,765,788,811,851,892,931,951,963,967,975,979,992,1001,1005,1026,1051,1079,1093,1113,1166,1207,1225,1277,1304,1341,1364,1375,1405,1430,1461,1492,1509,1527,1555,1581,1591,1604,1613,1628,1639,1655,1681,1705,1727,1734,1743,1751,1766,1776,1791,1808,1822,1839,1848,1860,1878,1897,1929,1958,1974,1984
Sancti Spíritus,Sancti Spíritus,3,3,3,3,3,3,3,4,4,4,6,6,7,8,8,8,11,13,13,13,15,15,17,17,18,18,18,28,29,29,48,49,49,52,55,56,56,58,60,60,60,60,60,60,60,60,60,61,61,61,64,64,64,64,65,67,67,67,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,70,70,70,71,71,71,71,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,75,75,75,75,75,75,75,75,75,75,79,81,83,83,86,89,96,97,98,104,104,106,107,108,109,110,110,116,116,118,127,141,154,160,197,208,231,238,248,252,256,258,272,285,286,286,309,321,350,362,379,395,401,411,418,434,440,444,455,457,461,466,477,489,493,496,507,509,513,513,518,520,520,523,531,534,534,535,536,536,537,537,537,537,538,538,539,539,539,543,545,545,549,550,550,552,553,553,555,560,560,572,574,575,576,577,578,579,579,583,584,584,588,590,591,596,597,598,599,601,610,611,611,613,616,616,618,620,626,627,628,642,648,651,653,654,658,660,681,681,692,692,695,697,697,699,700,701,720,723,727,728,734,761,764,764,765,769,770,772,781,783,795,796,798,811,812,820,825,828,833,834,850,860,883,900,907,919,926,933,954,972,999,1027,1051,1074,1108,1151,1160,1178,1205,1291,1347,1374
Ciego de Ávila,Ciego de Ávila,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,9,11,15,17,17,20,26,26,26,30,50,50,56,64,65,65,66,68,71,72,72,72,76,77,82,82,82,82,82,82,82,82,82,82,82,84,84,84,84,86,87,89,90,91,91,92,93,93,93,93,93,93,93,93,93,93,94,94,95,95,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,97,97,97,97,97,97,97,97,97,98,98,98,98,99,99,101,101,101,101,101,102,102,102,102,102,102,102,102,102,102,102,102,106,107,109,109,111,111,117,122,129,133,137,153,160,197,224,239,267,267,276,309,328,363,383,383,399,404,417,428,451,468,490,502,508,515,555,605,632,639,643,646,672,675,679,679,680,680,682,682,692,694,698,698,704,711,711,719,720,723,730,737,739,748,768,771,771,779,783,783,808,835,837,848,848,851,860,860,877,892,900,907,907,907,919,925,925,931,933,941,948,954,957,958,964,966,970,974,974,982,986,991,993,994,1000,1002,1005,1009,1011,1012,1012,1016,1016,1016,1019,1022,1023,1026,1029,1033,1036,1037,1039,1041,1043,1048,1053,1053,1053,1058,1068,1079,1086,1090,1098,1102,1111,1137,1156,1170,1185,1218,1245,1266,1309,1346,1355,1362,1375,1375,1376,1404,1430,1447,1476,1507,1540,1595,1623,1687,1693,1713,1717,1725,1764,1774,1803,1845,1857,1862,1899,1906,1929,1946,1967,1982,2011,2049,2060,2073,2098,2110,2138,2145,2178,2193,2205,2234,2261,2283,2312,2332,2346,2357,2370,2379,2388,2392,2410
Camagüey,Camagüey,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,8,8,8,11,12,14,14,14,15,18,20,20,26,29,29,30,30,30,32,32,33,33,34,34,34,34,35,36,36,36,37,37,37,37,37,37,37,38,39,39,40,40,40,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,50,50,50,50,50,50,50,50,50,50,50,53,54,54,54,54,54,54,55,55,55,55,55,55,55,55,55,55,55,55,56,57,58,58,58,58,58,58,60,60,61,61,61,61,61,61,61,61,64,67,67,67,68,68,68,70,70,70,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,73,73,73,73,73,73,73,73,73,73,73,73,73,73,74,75,78,78,79,81,81,84,84,84,85,85,86,90,90,93,94,95,95,95,95,95,97,100,100,107,107,107,109,111,113,116,122,122,127,128,135,141,149,152,155,164,169,172,175,175,176,179,189,193,195,198,203,205,208,214,219,226,236,245,252,255,257,268,284,301,321,332,343,368,374,386,407,417,440,471,486,497,540,546,549,553,554,557,560,584,585,600,644,653,663,663,681,695,731,731,744,746,757,776,792,809,811,834,845,861,889,910,953,984,1004,1044,1067,1095,1140,1189,1219,1260,1301,1385,1440,1527,1587,1655,1697,1760,1804,1841,1890,1931,1974,2016,2050
