state,region,03/11/2020_date,03/12/2020_date,03/13/2020_date,03/14/2020_date,03/15/2020_date,03/16/2020_date,03/17/2020_date,03/18/2020_date,03/19/2020_date,03/20/2020_date,03/21/2020_date,03/22/2020_date,03/23/2020_date,03/24/2020_date,03/25/2020_date,03/26/2020_date,03/27/2020_date,03/28/2020_date,03/29/2020_date,03/30/2020_date,03/31/2020_date,04/01/2020_date,04/02/2020_date,04/03/2020_date,04/04/2020_date,04/05/2020_date,04/06/2020_date,04/07/2020_date,04/08/2020_date,04/09/2020_date,04/10/2020_date,04/11/2020_date,04/12/2020_date,04/13/2020_date,04/14/2020_date,04/15/2020_date,04/16/2020_date,04/17/2020_date,04/18/2020_date,04/19/2020_date,04/20/2020_date,04/21/2020_date,04/22/2020_date,04/23/2020_date,04/24/2020_date,04/25/2020_date,04/26/2020_date,04/27/2020_date,04/28/2020_date,04/29/2020_date,04/30/2020_date,05/01/2020_date,05/02/2020_date,05/03/2020_date,05/04/2020_date,05/05/2020_date,05/06/2020_date,05/07/2020_date,05/08/2020_date,05/09/2020_date,05/10/2020_date,05/11/2020_date,05/12/2020_date,05/13/2020_date,05/14/2020_date,05/15/2020_date,05/16/2020_date,05/17/2020_date,05/18/2020_date,05/19/2020_date,05/20/2020_date,05/21/2020_date,05/22/2020_date,05/23/2020_date,05/24/2020_date,05/25/2020_date,05/26/2020_date,05/27/2020_date,05/28/2020_date,05/29/2020_date,05/30/2020_date,05/31/2020_date,06/01/2020_date,06/02/2020_date,06/03/2020_date,06/04/2020_date,06/05/2020_date,06/06/2020_date,06/07/2020_date,06/08/2020_date,06/09/2020_date,06/10/2020_date,06/11/2020_date,06/12/2020_date,06/13/2020_date,06/14/2020_date,06/15/2020_date,06/16/2020_date,06/17/2020_date,06/18/2020_date,06/19/2020_date,06/20/2020_date,06/21/2020_date,06/22/2020_date,06/23/2020_date,06/24/2020_date,06/25/2020_date,06/26/2020_date,06/27/2020_date,06/28/2020_date,06/29/2020_date,06/30/2020_date,07/01/2020_date,07/02/2020_date,07/03/2020_date,07/04/2020_date,07/05/2020_date,07/06/2020_date,07/07/2020_date,07/08/2020_date,07/09/2020_date,07/10/2020_date,07/11/2020_date,07/12/2020_date,07/13/2020_date,07/14/2020_date,07/15/2020_date,07/16/2020_date,07/17/2020_date,07/18/2020_date,07/19/2020_date,07/20/2020_date,07/21/2020_date,07/22/2020_date,07/23/2020_date,07/24/2020_date,07/25/2020_date,07/26/2020_date,07/27/2020_date,07/28/2020_date,07/29/2020_date,07/30/2020_date,07/31/2020_date,08/01/2020_date,08/02/2020_date,08/03/2020_date,08/04/2020_date,08/05/2020_date,08/06/2020_date,08/07/2020_date,08/08/2020_date,08/09/2020_date,08/10/2020_date,08/11/2020_date,08/12/2020_date,08/13/2020_date,08/14/2020_date,08/15/2020_date,08/16/2020_date,08/17/2020_date,08/18/2020_date,08/19/2020_date,08/20/2020_date,08/21/2020_date,08/22/2020_date,08/23/2020_date,08/24/2020_date,08/25/2020_date,08/26/2020_date,08/27/2020_date,08/28/2020_date,08/29/2020_date,08/30/2020_date,08/31/2020_date,09/01/2020_date,09/02/2020_date,09/03/2020_date,09/04/2020_date,09/05/2020_date,09/06/2020_date,09/07/2020_date,09/08/2020_date,09/09/2020_date,09/10/2020_date,09/11/2020_date,09/12/2020_date,09/13/2020_date,09/14/2020_date,09/15/2020_date,09/16/2020_date,09/17/2020_date,09/18/2020_date,09/19/2020_date,09/20/2020_date,09/21/2020_date,09/22/2020_date,09/23/2020_date,09/24/2020_date,09/25/2020_date,09/26/2020_date,09/27/2020_date,09/28/2020_date,09/29/2020_date,09/30/2020_date,10/01/2020_date,10/02/2020_date,10/03/2020_date,10/04/2020_date,10/05/2020_date,10/06/2020_date,10/07/2020_date,10/08/2020_date,10/09/2020_date,10/10/2020_date,10/11/2020_date,10/12/2020_date,10/13/2020_date,10/14/2020_date,10/15/2020_date,10/16/2020_date,10/17/2020_date,10/18/2020_date,10/19/2020_date,10/20/2020_date,10/21/2020_date,10/22/2020_date,10/23/2020_date,10/24/2020_date,10/25/2020_date,10/26/2020_date,10/27/2020_date,10/28/2020_date,10/29/2020_date,10/30/2020_date,10/31/2020_date,11/01/2020_date,11/02/2020_date,11/03/2020_date,11/04/2020_date,11/05/2020_date,11/06/2020_date,11/07/2020_date,11/08/2020_date,11/09/2020_date,11/10/2020_date,11/11/2020_date,11/12/2020_date,11/13/2020_date,11/14/2020_date,11/15/2020_date,11/16/2020_date,11/17/2020_date,11/18/2020_date,11/19/2020_date,11/20/2020_date,11/21/2020_date,11/22/2020_date,11/23/2020_date,11/24/2020_date,11/25/2020_date,11/26/2020_date,11/27/2020_date,11/28/2020_date,11/29/2020_date,11/30/2020_date,12/01/2020_date,12/02/2020_date,12/03/2020_date,12/04/2020_date,12/05/2020_date,12/06/2020_date,12/07/2020_date,12/08/2020_date,12/09/2020_date,12/10/2020_date,12/11/2020_date,12/12/2020_date,12/13/2020_date,12/14/2020_date,12/15/2020_date,12/16/2020_date,12/17/2020_date,12/18/2020_date,12/19/2020_date,12/20/2020_date,12/21/2020_date,12/22/2020_date,12/23/2020_date,12/24/2020_date,12/25/2020_date,12/26/2020_date,12/27/2020_date,12/28/2020_date,12/29/2020_date,12/30/2020_date,12/31/2020_date,01/01/2021_date,01/02/2021_date,01/03/2021_date,01/04/2021_date,01/05/2021_date,01/06/2021_date,01/07/2021_date,01/08/2021_date,01/09/2021_date,01/10/2021_date,01/11/2021_date,01/12/2021_date,01/13/2021_date,01/14/2021_date,01/15/2021_date,01/16/2021_date,01/17/2021_date,01/18/2021_date,01/19/2021_date,01/20/2021_date,01/21/2021_date,01/22/2021_date,01/23/2021_date,01/24/2021_date,01/25/2021_date,01/26/2021_date,01/27/2021_date,01/28/2021_date,01/29/2021_date,01/30/2021_date,01/31/2021_date,02/01/2021_date,02/02/2021_date,02/03/2021_date,02/04/2021_date,02/05/2021_date,02/06/2021_date,02/07/2021_date,02/08/2021_date,02/09/2021_date,02/10/2021_date,02/11/2021_date,02/12/2021_date,02/13/2021_date,02/14/2021_date,02/15/2021_date,02/16/2021_date,02/17/2021_date,02/18/2021_date,02/19/2021_date,02/20/2021_date,02/21/2021_date,02/22/2021_date,02/23/2021_date,02/24/2021_date,02/25/2021_date,02/26/2021_date,02/27/2021_date,02/28/2021_date,03/01/2021_date,03/02/2021_date,03/03/2021_date,03/04/2021_date,03/05/2021_date,03/06/2021_date,03/07/2021_date,03/08/2021_date,03/09/2021_date
Pinar del Río,Pinar del Río,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,11,11,11,12,12,12,13,14,16,16,16,16,16,16,18,19,19,21,21,21,21,22,22,22,22,22,23,23
Artemisa,Artemisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,7,7,7,7
La Habana,La Habana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,3,4,5,5,6,6,6,8,9,9,12,14,17,17,18,19,20,20,22,24,26,28,28,28,28,31,34,35,36,37,37,37,39,40,40,42,42,42,42,42,42,42,42,42,42,42,43,43,43,43,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,47,47,47,47,47,47,47,47,47,47,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,50,50,52,52,52,53,53,53,55,55,55,56,59,60,60,60,61,61,62,62,62,62,62,62,62,62,62,63,64,64,64,64,64,64,64,64,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,69,69,69,69,69,70,71,71,72,72,72,72,72,72,72,72,72,72,72,72,72,73,74,74,74,77,78,78,79,83,86,88,91,92,94,95,96,98,99,101,102,104,106,107,109,112,115,117,119,122,125,126,129,132,135,137,140,142,146,147,149,151,153,156,159,161,162,165,166,168,170,174,175,177,179,181,183,184,186
Mayabeque,Mayabeque,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
Matanzas,Matanzas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,11,13,13,14,14,14,15,15,15,15,15,15,16,17,17,17,17,17,17,17,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Cienfuegos,Cienfuegos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Villa Clara,Villa Clara,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,4,5,6,6,8,8,8,9,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,15,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,17
Sancti Spíritus,Sancti Spíritus,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,10,10,10,10,10,10
Ciego de Ávila,Ciego de Ávila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,5,6,6,7,7,9,9,9,9,10,10,11,12,13,14,15,16,16,16,17,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
Camagüey,Camagüey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,6,6,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,11,11,11,11,11,11,12
